Id,Proficiency,Text
pl006CVETI_2,A2,"Bom dia,

eu queria reclamar [Fig1] o meu telemóvel novo que está com avaria. Não consigo ler as mensagens, porque o ecrã corta metade do texto. Isso é muito inconveniente e eu estou descontente.

As regras do nosso contrato dizem que, no caso da avaria, eu posso exigir um telefone novo.

Como e quando podíamos fazer isso?

Frau FF"
es019CAETF,A2,"Eu gostaria de fazer uma reunião de amigos num local tranquilo ao ar livre, podia ser no Parque Eduardo VII, nas mesas de madeira que estão encima da colina. É um local muito agradável com muitas árvores que dão sombra. Eu gostaria de levar uma refeição de frutas variadas, fiambre, queijo, pão fresco, sumos de frutas e muita água para evitar a desidratação, também levaria pratos, copos e talheres de plástico, uma toalha e sacos de plástico para não deixar esquecido nenhum tipo de lixo e deixar o local tal como o encontrei.

É importante levar um livro para ler depois de almoçar, também levaria um telemóvel com boa música para ouvir e falar com as pessoas que convidei, os meus amigos."
de007CVMTD,B1,"Olá, Nuno,

As minhas férias são um espectáculo.

O tempo está muito bom e as praias são muito bonitas. Adoro as praias que têm boas ondas para a prática de surf. Gosto de nadar muito, porque está muito quente. Encontrei pessoas interessantes e conheci amigos novos. Os restaurantes são bonitos também com boas comidas.

Até logo.

Beijos,

Joana"
de016CVATF,B2,"Durante um debate ou uma simples conversa num qualquer lugar em Portugal, as pessoas falam, com certeza, mais do que 50% do passado. A gestão é se eles apenas falam ou também vivem um pouco no passado. A resposta está a procurar na grande história de Portugal, na literatura portuguesa e também na rua, onde os portugueses se encontram. É aqui que começa a história a ser interessante. Por mais que nós mergulhemos na cultura portuguesa, nós não chegamos ao fundo. A maré Atlântico é grande e profunda e ainda tem muitas histórias desconhecidas. Como estrangeira, eu tenho esta vista de Portugal. Mesmo que a Suíça tem também a sua história, ela nunca é tão velha, variada e complicada com essa de Portugal. Complicada é também a língua portuguesa, que tem apenas 26 diferentes tempos a usar. O português ajuda muito para complicar as coisas na vida em Portugal. Sem dúvida, há sempre uma maneira mais indirecta e complicada para descrever ou explicar um assunto.

Não esquecer é grande saudade e tristeza que faz parte da cultura portuguesa. Por exemplo, as pessoas ainda estão a esperar el Rei D. Sebastião voltando da sua viagem. Nesta altura e na época dos Descobrimentos, os portugueses tinham também sempre saudade do seus maridos, namorados e irmãos que foram nos barcos no Atlântico. Portanto, é normal que hoje a família conte muito ou tudo em Portugal, salvo o futebol. Do ponto de vista de D. Sebastião, eu não penso verdadeiramente que os portugueses estejam a esperar el Rei, mas um chefe, uma pessoa qualquer que poderia mudar os problemas do país. Era muito bonito se a situação de Portugal poder tornar mais positiva. Boa sorte, Portugal!"
it026CAETF,A2,"Normalmente não faço muitos planos para o ano novo, mas para 2016 tenho algumas ideias.

primeiro Em primeiro lugar, queria acabar os meus estudos em Direito. Ainda tenho de fazer seis testes e a tese. Se tudo correr bem, espero conseguir a licenciatura em dezembro. Este plano vai precisar de muito trabalho, mas estou muito motivada.

Ao mesmo tempo, queria aproveitar a primavera e o verão em Portugal: melhorar o meu Português, viajar um pouco no país e também na Espanha ou em Marrocos. Ao longo destes meses vou receber visitas, amigos e família, e vou mostrar-lhes o que conheço de Lisboa e viajar para fora com eles. Gostaria de ver o norte e também ir ao sul de Portugal, para descobrir as diferenças de paisagem, comidas e sotaque. Uma outra coisa que queria fazer aqui é aprender a técnica (pelo menos básica…) do surfe. Este é um desporto que não é possível praticar na Itália, porque as vagas ondas não são muito grandes e as praias são mais pequeninas que aqui.

Quando voltar para a Itália, no verão, queria ir à montanha.

Por fim, voltar a Génova para ficar alguns meses com a família e os amigos.

Em dezembro, vamos ver se apesar de tudo isso, vou acabar o curso de direito… Não gosto de planos, mas veremos (vamos ver)."
it025CAETF,A2,"Para o ano novo tenho muitas resoluções. Tenho de concluir o meu o projeto Erasmus, eu estou em Lisboa há 5 meses e tenho de morar aqui até julho. Nos meses antes do início das aulas, hei de viajar muito por Portugal, ou pela Espanha ou para outro país. Na próxima semana partirei para Nova Iorque, porque a minha irmã está a viver ali. Eu tenho de falar português mais que agora, e hei de falá-lo muito bem. Eu vou conhecer muitas pessoas internacional, eu hei de conhecer e praticar a cultura deles. Eu tenho também de ter boas notas finais nos meus próximos testes. Eu estou certa que farei algumas destas coisas porque eu quero muito realizar os meus sonhos!"
zh082CVMTF,B1,"Lisboa, 28 de Julho de 2011

ASSUNTO: RECLAMAÇÃO

Ex.mo Senhor,

Venho escrever a V. Ex.ª para reclamar sobre um produto do vosso estabelecimento.

Eu visitei o vosso estabelecimento no passado sábado. Eu queria comprar um telemóvel que estivesse em condições. ?? O vosso funcionário forneceu-me um telemóvel do modelo A123. Depois de ele explicar o seu funcionamento, eu paguei imediatamente.

Quando voltei para casa, iniciei o telemóvel. Embora pudesse ser iniciado, não podia receber nenhum sinal. Portanto, eu desejo que V. Ex.a me arranje um modelo novo e funcional dentro de 7 dias. Se eu não receber a vossa resposta, irei queixar-me/queixar-me-ei à Comissão de Consumidores.

Com os meus melhores cumprimentos,

FF

Lisboa, 28 de Julho de 2011"
ja014CVETI,A2,"O Pedro mora em Lisboa. Ele é solteiro e está sempre sozinho, mas ele mora com um gato, que se Chama Rocket. O Rocket é um gato muito inteligente. O Pedro trabalho no banco em Lisboa. Ele é muito trabalhador, mas as colegas não gostam dele, porque ele é antipático.

Ontem ele acabou o trabalho muito tarde. Ele ficou cansado. Quando ele chegou a casa, eram 20h45. Quando ele abriu a porta, o Rocket correu para ele. Ele tinha esperado pelo Pedro.

Eles jantaram e o Pedro tomou um duche.

Às 21h, ele sentou-se no sofá. Enquanto ele estava a ler o jornal, ele também via a televisão. Ele estava confortável, porque o aquecedor estava quente.

Quando ele estava a ler, o Pedro arrumou ? e, depois, o Rocket estava com muito calor e viu o aquecedor. Ele ficou horrorizado, mas achou que tinha de o desligar e de ajudar o Pedro.

Quando o Pedro acordou, eram 6h e meia da manhã.

Ele nunca soube o que o gato dele fez à noite."
de022CVITI_2,A1,"Todas divisões têm a porta com o corredor. À frente é a casa de banho e, à direita da casa de banho, é o meu quarto."
it012CVETI,A2,"Os momentos mais marcantes da minha vida foram dois: o primeiro, quando escolhi partir para viver na Suiça, porque tive a oportunidade de conhecer opiniões diferentes e de completar os meus estudos com a prática profissional. O segundo, quando escolhi de deixar um emprego importante, porque não me dava satisfação nenhuma.

Os objetivos principais que cumpri no passado foram obter um mestrado e depois obter um trabalho a nível internacional e uma independência pessoal.

Agora os meus objetivos são dois: em primeiro lugar, ter um novo trabalho mais independente. Depois, ter mais tempo livre para as minhas actividades favoritas.

A minha ideia de realização pessoal e profissional é associada com a oportunidade de ter uma profissão adequada às melhores características pessoais, e uma família aberta às outras pessoas. Também acho que é importante participar à vida de cidade onde moro, porque quero que o futuro seja melhor para todos."
